"Validate credentials","驗證憑據"
"Transaction failed","交易失敗"
"Data successfully synced","數據已成功同步"
"Error response with the %1 code received from Payoneer. Check the payoneer.log file for details.","從Payoneer收到的%1代碼錯誤回應。有關詳細資料，請查看payoneer.log文件。"
"We couldn\'t process the payment","我們無法處理付款"
"We couldn\'t  capture the  transaction. Check the payoneer.log file for details.","我們無法獲取交易。有關詳細資料，請查看payoneer.log文件。"
"We couldn\'t fetch the data. Check the payoneer.log file for details.","我們無法選取數據。有關詳細資料，請查看payoneer.log文件。"
"The order no longer exists","訂單已不存在"
"You can\'t create an invoice with this order","無法以此訂單創建發票"
"You can\'t create an invoice without products","如果沒有商品，便無法創建發票"
"We\'ve nofified the customer taht the #%1 invoice has been created","我們已通知客戶#%1發票已發出"
"We can\'t send an email with the invoice. Try again later.","我們無法發送帶有發票的電郵。請稍後再次嘗試。"
"We can\'t generate the invoice. Try again later.","我們無法生成發票。請稍後再次嘗試。"
"We couldn\'t create a credit memo for the %1 order. Try again later.","我們無法為訂單%1創建貸項通知單。請稍後再次嘗試。"
"We couldn\'t save the notification. Try again later.","我們無法保存有關通知。請稍後再次嘗試。"
"Authorized amount of %1","%1的授權金額"
"We couldn\'t authorize the order. Try again later.","我們無法授權有關訂單。請稍後再次嘗試。"
"We couldn\'t refund the order. Try again later.","我們無法為訂單退款。請稍後再次嘗試。"
"We couldn\'t process the partial refund of the order. Try again later.","我們無法處理訂單的部份退款。請稍後再次嘗試。"
"The credit memo\'s total must be positive","貸項通知單的總額必須為正數"
"Credit memo created.","已創建貸項通知單"
"We couldn\'t save the credit memo. Try again later.","我們無法保存貸方通知單。請稍後再次嘗試"
"We couldn\'t cancel the authorization. Try again later.","我們無法取消授權。請稍後再次嘗試。"
"Payoneer status changed to preauthorization_canceled","Payoneer狀態已更改為preauthorization_canceled"
"We couldn\'t cancel the preauthorization. Try again later.","我們無法取消預授權。請稍後再次嘗試。"
"The amount of %1 is void","%1的金額無效"
"We couldn\'t capture the transaction. Try again later.","我們無法獲取交易。請稍後再次嘗試。"
"We couldn\'t find an order with the increment ID of %s","找不到增量ID為%s的訂單"
"We couldn\'t create the %1 transaction entry","無法創建%1交易條目"
"Payoneer validation failed. Make sure the credentials you have entered are correct.","Payoneer驗證失敗。確保您輸入的憑據正確無誤。"
"Payoneer capture","Payoneer獲取"
"action-default scalable","action-default可擴展"
"Payoneer fetch","Payoneer選取"
"We couldn\'t process the payment. Invalid response from Payoneer.","我們無法處理付款。Payoneer的回應無效。"
"Transaction declined. Try again later.","交易被拒絕。請稍後再次嘗試。"
"Payoneer capture completed successfully","「Payoneer獲取」成功完成"
"Payoneer fetch completed successfully","「Payoneer選取」成功完成"
"Payoneer Checkout","Payoneer Checkout"
"Title","頭銜"
"API username","API用戶名稱"
"Environment","環境"
"Live API token","實時API token"
"Live Store code","實時店舖代碼"
"Live OPG hostname","實時OPG主機名稱"
"Test API token","測試API token"
"Test Store code","測試店舖代碼"
"Test OPG hostname","測試OPG主機名稱"
"Makes a List API call to check if it returns HTTP 200 and the interaction reason is OK","進行List API調用以檢查它是否返回HTTP 200，以及互動原因是否正確"
"Success URL","成功URL"
"Cancel URL","取消URL"
"Notification URL","通知URL"
"Payment action","付款操作"
"Payment flow","付款流程"
"Order reference message","訂單參考訊息"
"Payment method position","付款方式位置"
"Debug","偵錯"
"Payment widget appearance","付款小部件外觀"
"Background color","背景顏色"
"Payment widget background color","付款小部件背景顏色"
"Text color","文字顏色"
"Payment widget text color","付款小部件文字顏色"
"Placeholder color","佔位符顏色"
"Payment widget placeholder color","付款小部件佔位符顏色"
"Font size","字體大小"
"Payment widget font size in px","付款小部件字體大小（以px為單位）"
"Font weight","字型粗細"
"Payment widget font weight in px","付款小部件字體粗細（以px為單位）"
"Letter spacing","字母間距"
"Payment widget letter spacing in px","付款小部件字母間距（以px為單位）"
"Line height","行高"
"Payment widget line height, e.g. 1.5 or normal","付款小部件行高，例如1.5或正常"
"Padding","邊距"
"Payment widget padding in px","付款小部件邊距（以px為單位）"
"Align text","對齊文字"
"Payment widget text alignment","付款小部件文字對齊"
"Custom CSS","自定CSS"
